涯	horizon	outer limits	horizon
寺	buddhist temple	buddhist temple	Buddhist temple
時	time	time	time
均	level	even	level
火	fire	fire	fire
炎	inflammation	flame, inflammation	inflammation
煩	anxiety	vexed	anxiety
淡	thin	light	thin
灯	lamp	lamp	lamp
畑	farm	field	farm
災	disaster	natural calamity	disaster
灰	ashes	ash	ashes
点	spot	point	point
照	illuminate	illuminate	illuminate
魚	fish	fish	fish
漁	fishing	fish	fishing
里	ri	countryside, league	village
黒	black	black	black
墨	black ink	india ink	black ink
鯉	carp	carp	
量	quantity	quantity	quantity
厘	rin	rin	thousandth
埋	bury	bury	bury
同	same	same	same
洞	den	cave	den
胴	trunk	trunk	trunk
向	yonder	turn toward	over there
尚	esteem	still, value highly	esteem
字	character	character	letter
守	guard	protect	protect
完	perfect	complete	perfect
宣	proclaim	proclaim	proclaim
宵	wee hours	early evening	wee hours
安	relax	peaceful, inexpensive	cheap
宴	banquet	banquet	banquet
寄	draw near	contribute, draw near	approach
富	wealth	rich	rich
貯	savings	lay up	savings
木	tree	tree, wood	tree
林	grove	forest	woods
森	forest	thick woods	forest
桂	Japanese Judas tree	aromatic tree	
柏	oak		
枠	frame	frame	frame
梢	treetops	tip of twig	
棚	shelf	shelf	shelf
杏	apricot	apricot	
桐	paulownia	paulownia	
植	plant	plant	plant
枯	wither	wither	wither
朴	crude	simple	crude
村	town	village	village
相	inter-	phase, mutual, minister	mutual
机	desk	desk	desk
本	book	basis, book, this	book
札	tag	tag	tag
暦	calendar	calendar	calendar
案	plan	proposal	plan
燥	parch	dry up	parch
未	not yet	not yet	not yet
末	extremity	last part	end
沫	splash		
味	flavor	taste	flavor
妹	younger sister	younger sister	younger sister
朱	vermillion	vermillion	vermilion
株	stocks	stock	stocks
若	young	young	young
草	grass	grass	grass
苦	suffering	suffering, bitter	suffer
寛	tolerant	lenient	tolerant
薄	dilute	thin	dilute
葉	leaf	leaf	leaf
模	imitation	pattern	imitation
漠	vague	desert, obscure	vague
墓	grave	grave	grave
暮	livelihood	dusk, live	livelihood
膜	membrane	membrane	membrane
苗	seedling	seedling	seedling
兆	portent	omen, trillion	portent, trillion
桃	peach tree	peach	peach tree
眺	stare	look out over	stare
犬	dog	dog	dog
状	status quo	form, condition, letter	form
黙	silence	silent	silence
然	sort of thing	modifier forming suffix, so	so
荻	reed		
狩	hunt	hunt	hunt
猫	cat	cat	cat
牛	cow	cattle	cow
特	special	special	special
告	revelation	notify	to tell
先	before	ahead	previous
洗	wash	wash	wash
介	jammed in	mediate	jammed in
界	world	world, bounds	world
茶	tea	tea	tea
合	fit	combine, fit	fit
塔	pagoda	tower	pagoda
王	king	king	king
玉	jewel	gem	ball
宝	treasure	treasure	treasure
珠	pearl	pearl	pearl
現	present	actual, appear	appear
狂	lunatic	crazy	lunatic
皇	emperor	emperor	emperor
呈	display	present	display
全	whole	whole	whole
栓	plug	stopper	plug
理	logic	reason, basic principal	reason
主	lord	main, master	master
注	pour	pour, concentrate	pour
柱	pillar	pillar	pillar
金	gold	metal, gold, money	gold
銑	pig-iron	pig iron	
鉢	bowl	bowl	bowl
銅	copper	copper	copper
釣	angling	angle	angling
針	needle	needle	needle
銘	inscription	inscription	inscription
鎮	tranquilize	quell	tranquilize
道	road-way	way	road
導	guidance	guide	guide
辻	crossing	crossroads	
迅	swift	swift	swift
造	create	make	create
迫	urge	press	urge
逃	escape	escape	escape
辺	environs	vicinity, borderland	environs
巡	patrol	make the rounds	patrol
車	car	vehicle, wheel	car
連	take along	link, in succession	take along
軌	rut	track	rut
輸	transport	transport	transport
前	in front	before	in front
各	each	each	each
格	status	norm, status	status
略	abbreviation	abridged, strategy	abbreviation
客	guest	visitor, customer	guest
額	forehead	amount	amount
夏	summer	summer	summer
処	dispose	deal with	dispose
条	twig	article	clause
落	fall	fall	fall
冗	superfluous	redundant	superfluous
軍	army	army	army
輝	radiance	shine brilliantly	radiance
運	carry	carry, move, fortune	carry
冠	crown	crown	crown
夢	dream	dream	dream
坑	pit	pit	pit
高	tall	high	tall, expensive
享	receive	enjoy	receive
塾	cram school	private school	cram school
熟	mellow	mature	ripen
亭	pavilion	inn, pseudonym suffix	pavilion
京	capital	capital, Tokyo, Kyoto	capital
涼	refreshing	cool	refreshing
景	scenery	scene	scenery
鯨	whale	whale	whale
舎	cottage	building	cottage
周	circumference	periphery	circumference
週	week	week	week
士	gentleman	military man, profession suffix	gentleman
吉	good luck	lucky	good luck
壮	robust	vigorous, grand	robust
荘	villa	villa, dignified	villa
売	sell	sell	sell
学	study	study, educational institution	study
覚	memorize	perceive, commit to memory	memorize
栄	flourish	flourish, glory	prosperity
書	write	write, book	write
津	haven	harbor	haven
牧	breed	pasture	breed
攻	aggression	attack	aggression
敗	failure	be defeated	failure
枚	sheet of…	counter for flat things	sheet of...
故	happenstance	old, the late	circumstances
敬	awe	respect	respect
言	say	say, speech	say
警	admonish	guard against, warn	guard against
計	plot	plan, compute	measure
獄	prison	prison	prison
訂	revise	revise	revise
討	chastise	study, suppress by armed force	chastise
訓	instruction	instruct	instruction
詔	imperial edict	imperial edict	imperial edict
詰	packed	reprimand, stuff	packed
話	tale	speak	talk
詠	recitation	recite poetry	recitation
詩	poem	poetry	poem
語	word	language, word, tell	language
読	read	read	read
調	tune	tone, investigate, prepare	investigate
談	discuss	talk	discuss
諾	consent	consent	consent
諭	rebuke	admonish	rebuke
式	style	style, ceremony	style
試	test	try	test
弐	II	two	two (falsification prevention)
域	range	bounded area	range
賊	burglar	bandit	burglar
栽	plantation	plant	plantation
載	load	load, put in print	ride
茂	overgrown	grow thick	overgrown
成	turn into	form, achieve	become
城	castle	castle	castle
誠	sincerity	sincerity	sincerity
威	intimidate	might, threaten by force	intimidate
滅	destroy	destroy	destroy
減	dwindle	decrease	decrease
桟	scaffold	plank bridge	scaffold
銭	coin	money	coin
浅	shallow	shallow	shallow
止	stop	stop	stop
歩	walk	walk	walk
渉	ford	have relations with	ford
頻	repeatedly	frequently	repeatedly
肯	agreement	assent	agreement
企	undertake	project	plan
歴	curriculum	personal history	curriculum
武	warrior	military	military
賦	levy	installment	levy
正	correct	right	correct
証	evidence	prove, certificate	evidence
政	politics	political administration	politics
定	determine	fix	decide
錠	lock	lock, pill	lock
走	run	run	run
超	transcend	surpass	transcend
赴	proceed	proceed to	proceed
越	surpass	go beyond	cross over
是	just so	right	just so
題	topic	title, topic, problem	topic
堤	dike	embankment	dike
建	build	build	build
延	prolong	extend, postpone	prolong
誕	nativity	be born	nativity
礎	cornerstone	foundation stone	cornerstone
婿	bridegroom	son-in-law	bridegroom
衣	garment	garment	clothes
裁	tailor	cut out, judge	judge
装	attire	dress, fit out	attire
裏	back	rear	back
壊	demolition	break down	demolition
哀	pathetic	sorrow, pity	pathetic
遠	distant	distant	far
猿	monkey	monkey	monkey
初	first time	first	first
布	linen	cloth, spread	linen
帆	sail	sail	sail
幅	hanging scroll	width	breadth
帽	cap	headgear	cap
幕	curtain	curtain, shogunate	curtain
幌	canopy		
錦	brocade	brocade	brocade
市	market	city, market	market
姉	elder sister	older sister	older sister
肺	lungs	lung	lungs
帯	sash	belt, wear	sash
滞	stagnate	stagnate, stay	stagnate
刺	thorn	stab	thorn
制	system	system, control	control
製	made in…	manufacture	manufacture
転	revolve	turn	revolve
芸	technique	art	art
雨	rain	rain	rain
雲	cloud	cloud	cloud
曇	cloudy weather	cloudy	cloudy weather
雷	thunder	thunder	thunder
霜	frost	frost	frost
冬	winter	winter	winter
天	heavens	heaven	heaven
橋	bridge	bridge	bridge
嬌	attractive		
立	stand up	stand, establish	stand up
泣	cry	cry	cry
章	badge	chapter, badge	chapter
競	vie	compete	compete
帝	sovereign	emperor	sovereign
童	juvenile	child	juvenile
瞳	pupil	pupil	pupil
鐘	bell	bell	bell
商	make a deal	trade	sell
嫡	legitimate wife	legitimate child	legitimate wife
適	suitable	suitable	suitable
滴	drip	drop	drip
敵	enemy	enemy	enemy
